No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
1,1999,CONSTRUCTION ,"1,000,000",BAD,"170,000",24,"1,002,146","890,994","5,282,403","12,469,078","6,284,549","13,360,072","3,657,791","10,845,221","4,258,349","11,349,742","1,000,000","1,000,000","1,026,200","1,010,330","2,026,200","2,010,330","16,290,037","33,637,927","191,684","46,330","108,884","-15,870"
2,1995,BUSINESS SERVICES ,"5,000,000",BAD,"62,106",59,n.a.,"5,606,719",n.a.,"19,568,153",n.a.,"25,174,872",n.a.,"16,718,742",n.a.,"17,320,843",n.a.,"5,000,000",n.a.,"2,854,029",n.a.,"7,854,029",n.a.,"25,400,125",n.a.,"-524,053",n.a.,"-666,085"
3,1994,LAND TRANSPORT ,"500,000",BAD,"520,000",36,"460,554","361,324","6,949,110","7,098,230","7,409,664","7,459,554","9,200,242","9,205,233","9,450,069","9,258,797","500,000","500,000","-2,540,405","-2,299,243","-2,040,405","-1,799,243","2,664,461","1,684,335",n.a.,n.a.,"121,906","241,162"
4,2004,BUSINESS SERVICES ,"1,000,000",BAD,"16,501",59,n.a.,"124,563",n.a.,"1,359,961",n.a.,"1,484,524",n.a.,"1,708,657",n.a.,"1,708,657",n.a.,"50,000",n.a.,"-274,133",n.a.,"-224,133",n.a.,"3,376,770",n.a.,"-425,503",n.a.,"-430,909"
5,1996,LAND TRANSPORT ,"50,000,000",BAD,"26,502",60,"63,663,621","79,184,849","220,186,689","128,316,914","283,850,310","207,501,763","149,109,763","53,523,141","163,804,268","71,527,776","50,000,000","50,000,000","68,412,150","84,340,095","120,046,042","134,340,095","300,974,998","246,855,376","30,229,777","29,173,889","22,780,799","22,450,220"
6,2003,BUSINESS SERVICES ,"1,000,000",BAD,"49,164",59,"729,155","494,413","1,695,126","1,493,172","2,424,281","1,987,585","900,097","610,340","1,367,039","972,378","500,000","500,000","557,242","515,207","1,057,242","1,015,207","3,202,954","1,897,709","-57,807","-45,444","-65,010","-42,035"
7,1991,BUSINESS SERVICES ,"46,876,000",BAD,"7,817",59,"101,555,995","107,334,906","76,670,126","53,192,538","178,226,121","160,527,444","115,077,658","85,867,992","119,966,752","111,436,173","46,876,000","46,876,000","-4,583,019","-13,751,117","58,259,369","49,091,271","52,100,864","44,621,142","-72,455","-13,395,555","-408,455","-9,168,098"
8,1997,CONSTRUCTION ,"100,002",BAD,"144,000",24,"378,737",n.a.,"6,079,440",n.a.,"6,458,177",n.a.,"5,744,903",n.a.,"5,790,625",n.a.,"100,002",n.a.,"567,550",n.a.,"667,552",n.a.,"6,604,924",n.a.,"32,463",n.a.,"13,687",n.a.
9,1996,CONSTRUCTION ,"3,000,000",BAD,"59,888",59,"12,847,054",n.a.,"84,110,351",n.a.,"96,957,405",n.a.,"95,758,814",n.a.,"95,798,730",n.a.,"3,000,000",n.a.,"-1,798,910",n.a.,"1,201,090",n.a.,"22,578,792",n.a.,"-97,947",n.a.,"-140,094",n.a.
10,2007,LAND TRANSPORT ,"600,000",BAD,"400,000",60,"2,132,348","1,932,187","374,657","321,425","2,507,005","2,253,612","2,285,995","1,788,720","2,655,866","2,632,796","200,000","200,000","-348,861","-579,184","-148,861","-379,184","1,004,707","885,738","-315,957","-230,323","-316,417","-230,323"
11,2002,BUSINESS SERVICES ,"10,000,003",BAD,"28,568",60,"14,300,370",n.a.,"239,276",n.a.,"14,539,646",n.a.,"2,695,877",n.a.,"7,418,618",n.a.,"10,000,003",n.a.,"-2,878,975",n.a.,"7,121,028",n.a.,"157,500",n.a.,"-967,997",n.a.,"-967,997",n.a.
12,2005,BUSINESS SERVICES ,"100,000",BAD,"163,836",60,n.a.,"101,319",n.a.,"2,150,851",n.a.,"2,252,170",n.a.,"1,730,265",n.a.,"2,073,609",n.a.,"100,000",n.a.,"78,561",n.a.,"178,561",n.a.,"2,325,316",n.a.,"158,192",n.a.,"158,042"
13,2005,BUSINESS SERVICES ,"500,000",BAD,"43,499",36,"875,690","5,383,348","42,878,104","111,124,551","43,753,794","116,507,899","38,239,884","107,658,533","38,518,747","107,937,396","500,000","500,000","4,735,047","8,070,503","5,235,047","8,570,503","51,755,340","75,558,526","2,357,368","3,480,666","2,291,626","3,335,456"
14,1999,BUSINESS SERVICES ,"200,000",GOOD,"7,336",59,"42,931","29,201","1,531,846","596,685","1,574,777","625,886","1,341,296","441,269","1,341,296","477,680","200,000","200,000","33,481","-51,794","233,481","148,206","7,854,239","5,303,149","-6,688","-88,632","-12,346","-85,275"
15,2003,BUSINESS SERVICES ,"700,000",GOOD,"275,000",48,"549,506","549,581","2,502,404","2,346,331","3,051,910","2,895,912","2,611,556","2,860,600","3,054,884","3,288,751","700,000","700,000","-702,974","-1,092,839","-2,974","-392,839","2,559,329","1,271,077","-346,086","-392,865","-338,086","-389,865"
16,2004,BUSINESS SERVICES ,"550,002",GOOD,"230,000",36,"2,175,336","1,713,799","234,308","74,359","2,409,644","1,788,158","2,203,976","1,924,013","2,203,976","1,955,397","550,002","550,002","-344,334","-717,241","205,668","-167,239","2,796,271","487,500","1,571","-534,155","1,571","-372,907"
17,2007,BUSINESS SERVICES ,"3,600,000",GOOD,"16,501",59,"881,482","1,631,853","1,576,581","1,943,243","2,458,063","3,575,096","38,114","28,154","138,914","196,154","2,000,000","2,900,000","319,149","478,942","2,319,149","3,378,942","2,791,978","3,649,861","232,354","228,631","180,778","159,793"
18,1995,BUSINESS SERVICES ,"1,000,001",GOOD,"60,000",36,"992,916","1,426,208","606,411","983,343","1,599,327","2,409,551","795,461","1,179,015","1,177,777","1,679,756","700,000","1,000,000","-278,450","-270,205","421,550","729,795","1,955,448","3,946,031","-6,689","31,158","-8,984","8,245"
19,2000,BUSINESS SERVICES ,"200,003",GOOD,"512,000",36,"830,402","786,072","4,763,400","2,728,456","5,593,802","3,514,528","5,192,093","3,151,427","5,235,820","3,376,061","200,002","200,002","157,980","-61,535","357,982","138,467","13,154,307","12,843,995","105,691","-157,283","21,495","-219,515"
20,1999,BUSINESS SERVICES ,"500,001",GOOD,"153,000",36,"347,676","275,439","1,112,291","1,235,411","1,459,967","1,510,850","1,723,600","1,315,872","1,794,711","1,692,746","260,000","260,000","-594,744","-441,896","-334,744","-181,896","1,163,208","1,422,275","-251,209","155,871","-251,209","152,848"
21,1990,BUSINESS SERVICES ,"5,000,001",GOOD,"84,681",59,"3,682,310","4,154,664","26,550,500","24,272,962","30,232,810","28,427,626","22,097,649","19,032,472","22,104,503","20,037,756","5,000,000","5,000,000","3,128,307","3,389,870","8,128,307","8,389,870","19,961,442","21,413,346","-95,959","511,800","182,327","261,563"
22,1995,BUSINESS SERVICES ,"175,001",GOOD,"17,150",59,"71,586","109,081","5,225,777","1,315,144","5,297,363","1,424,225","630,944","636,665","630,944","636,665","175,000","175,000","4,491,419","612,560","4,666,419","787,560","8,344,666","12,537,744","4,276,786","8,739,180","3,120,402","6,411,561"
23,2009,BUSINESS SERVICES ,"50,002",GOOD,"424,000",36,n.a.,"714,929",n.a.,"733,381",n.a.,"1,448,310",n.a.,"1,351,953",n.a.,"1,419,523",n.a.,100,n.a.,"28,687",n.a.,"28,787",n.a.,"1,441,150",n.a.,"36,126",n.a.,"28,687"
24,2001,BUSINESS SERVICES ,"918,002",GOOD,"331,000",30,"1,859,135","3,669,738","1,084,380","422,015","2,943,515","4,091,753","1,719,245","1,922,976","2,117,884","3,132,972","613,000","613,000","212,631","345,781","825,631","958,781","3,219,239","3,482,320","79,546","168,147","-154,835","133,150"
25,1990,BUSINESS SERVICES ,"1,000,002",GOOD,"165,708",36,"6,160,178","7,683,781","8,986,277","11,323,470","15,146,455","19,007,251","7,684,304","9,939,954","10,845,352","14,440,896","1,000,000","1,000,000","3,301,103","3,566,355","4,301,103","4,566,355","8,146,952","17,928,113","1,382,156","450,252","1,340,072","265,252"
26,1982,BUSINESS SERVICES ,"100,000",GOOD,"23,884",59,"113,093","168,769","429,762","403,248","542,855","572,017","542,482","571,353","545,382","575,653","46,000","46,000","-48,527","-49,636","-2,527","-3,636","1,326,188","1,269,362","8,945","5,315","4,363","-1,109"
27,1987,BUSINESS SERVICES ,"800,000",GOOD,"133,440",60,"638,010","610,514","155,794","272,452","793,804","882,966","3,012,052","1,937,283","3,197,064","2,123,470","150,000","150,000","-2,553,260","-1,390,504","-2,403,260","-1,240,504","512,924","418,658","44,389","1,164,869","43,989","1,162,756"
28,1985,CONSTRUCTION ,"750,000",GOOD,"20,846",59,"2,639,584","2,788,458","13,986,315","16,972,286","16,625,899","19,760,744","7,682,011","8,909,095","7,682,011","8,909,095","750,000","750,000","8,193,888","10,101,649","8,943,888","10,851,649","30,161,892","32,372,797","2,172,176","2,488,990","1,593,256","1,907,761"
29,2004,CONSTRUCTION ,"820,000",GOOD,"24,319",59,"366,537","333,631","990,660","1,662,204","1,357,197","1,995,835","436,619","1,075,688","569,314","1,203,483","820,000","820,000","-32,117","-27,648","787,883","792,352","1,734,501","1,853,908","-19,740","7,839","-23,462","4,469"
30,1997,CONSTRUCTION ,"1,200,000",GOOD,"624,000",46,"485,982","527,750","436,418","570,680","922,399","1,098,431","892,169","523,313","904,617","969,325","1,050,000","1,150,000","-1,032,217","-1,020,895","17,783","129,105","1,383,567","1,366,699","65,657","2,224","74,281","11,323"
31,1982,CONSTRUCTION ,"2,500,000",GOOD,"884,000",36,"13,390,611","13,455,632","19,230,688","13,466,051","32,621,299","26,921,683","22,515,357","15,756,698","26,871,612","20,166,413","1,000,000","1,000,000","4,749,687","5,755,270","5,749,687","6,755,270","29,856,521","35,298,837","890,691","1,365,583","881,819","1,005,583"
32,1994,CONSTRUCTION ,"1,000,000",GOOD,"13,461",59,"416,021","371,833","625,666","467,509","1,041,687","839,342","473,723","301,193","739,943","524,279","505,370","1,000,000","-203,626","-684,937","301,744","315,063","3,714,677","5,423,646","-8,132","-486,526","-8,053","-481,311"
33,1995,CONSTRUCTION ,"1,000,001",GOOD,"417,930",36,"1,278,658","1,124,402","42,806,431","41,905,405","44,085,089","43,029,807","37,245,899","35,257,695","37,573,502","35,482,046","1,000,000","1,000,000","5,511,587","6,547,761","6,511,587","7,547,761","48,284,417","88,109,011","1,377,546","1,406,809","946,984","1,110,174"
34,2001,CONSTRUCTION ,"2,000,001",GOOD,"650,000",42,"544,836","128,976","2,513,874","5,017,793","3,058,710","5,146,769","2,478,783","4,587,773","2,548,783","4,622,773","250,000","250,000","259,927","273,996","509,927","523,996","6,456,087","3,887,279","60,448","25,120","44,547","14,069"
35,2004,CONSTRUCTION ,"1,000,001",GOOD,"238,000",36,n.a.,"432,180","535,978","331,270","535,978","763,450","20,496","185,571","20,496","185,571","500,000","500,000","15,482",n.a.,"515,482","577,879","1,065,415","1,134,221",n.a.,"53,906","19,418","45,585"
36,2004,CONSTRUCTION ,"750,003",GOOD,"65,500",24,"55,910","55,463","320,070","389,958","375,980","445,421","417,819","418,875","438,811","435,018",2,2,"-62,833","10,401","-62,831","10,403","1,820,657","3,070,428","30,651","87,223","30,651","73,234"
37,1991,CONSTRUCTION ,"850,002",GOOD,"138,000",30,"1,420,424","1,523,022","1,165,693","2,370,097","2,586,117","3,893,119","1,541,808","2,636,615","1,937,954","3,232,849","200,000","200,000","448,163","460,270","648,163","660,270","3,258,486","10,736,853","62,447","26,735","43,994","12,107"
38,2003,CONSTRUCTION ,"2,500,001",GOOD,"9,199",60,"33,609","285,039","3,871,465","3,804,329","3,905,074","4,089,368","3,114,809","5,312,271","3,124,971","5,380,270","100,000","100,000","480,103","-1,590,902","780,103","-1,290,902","5,024,610","3,918,577","453,868","-2,071,005","359,103","-2,071,005"
39,2000,CONSTRUCTION ,"1,000,001",GOOD,"738,960",48,"10,396,908","14,577,706","28,974,321","28,157,222","39,371,229","42,734,927","37,125,571","35,521,277","37,229,958","35,671,152","1,000,000","1,000,000","1,141,271","6,063,775","2,141,271","7,063,775","15,156,192","26,528,127","2,981,557","6,740,733","2,469,556","4,922,504"
40,2006,CONSTRUCTION ,"750,001",GOOD,"553,000",36,n.a.,"2,060",n.a.,"202,899",n.a.,"204,959",n.a.,"200,452",n.a.,"200,452",n.a.,2,n.a.,"4,505",n.a.,"4,507",n.a.,"596,678",n.a.,"5,829",n.a.,"4,505"
41,1981,CONSTRUCTION ,"823,309",GOOD,"793,000",24,"603,215","810,484","9,846,739","12,963,691","10,449,954","13,774,175","8,039,160","11,194,174","8,150,911","11,251,185","823,308","823,308","1,475,735","1,699,682","2,299,043","2,522,990","29,365,102","53,813,746","260,225","299,047","198,331","223,947"
42,2007,CONSTRUCTION ,"1,500,002",GOOD,"415,000",24,"100,046","240,000","1,786,856","2,346,116","1,886,902","2,586,115","1,559,383","2,194,792","1,599,373","2,247,779","250,000","250,000","37,529","88,337","287,529","338,337","7,833,143","6,554,490","53,026","68,794","37,529","50,808"
43,1999,LAND TRANSPORT ,"500,002",GOOD,"200,000",48,"2,881,674","2,800,177","324,648","506,756","3,206,322","3,306,933","1,231,439","1,393,473","2,345,267","2,337,579","500,000","500,000","361,055","469,354","861,055","969,354","2,466,166","2,661,642","127,327","108,844","127,327","108,299"
44,1994,LAND TRANSPORT ,"2,500,002",GOOD,"1,160,000",43,"1,202,295","2,398,395","1,459,069","1,066,896","2,661,364","3,465,291","1,640,074","1,402,882","2,037,552","2,529,510","1,000,000","1,500,000","-376,188","-564,219","623,812","935,781","5,015,007","4,497,424","261,030","-181,823","179,673","-188,031"
45,2007,LAND TRANSPORT ,"2,000,000",GOOD,"845,000",51,"2,277,598","4,237,620","59,300","27,941","2,336,898","4,265,561","488,964","949,880","1,473,561","3,013,595","500,000","500,000","363,337","751,966","863,337","1,251,966","1,738,200","2,251,217","311,406","486,169","255,293","388,629"
46,2007,LAND TRANSPORT ,"500,002",GOOD,"16,285",59,"24,156","30,211","2,505,033","2,494,845","2,529,189","2,525,056","2,275,557","2,010,361","2,275,557","2,010,361","250,000","500,000","3,632","14,695","253,632","514,695","3,217,810","7,713,171","4,380","16,176","3,632","11,063"
47,1975,LAND TRANSPORT ,"1,000,002",GOOD,"200,000",36,"40,083","12,501","54,893","42,279","94,976","54,780","765,844","720,659","765,844","720,659","400,000","400,000","-1,070,868","-1,065,879","-670,868","-665,879","845,928","1,086,790","-158,898","4,989","-158,898","4,989"
48,2005,LAND TRANSPORT ,"500,002",GOOD,"151,200",36,"452,099","855,575","1,596,321","2,009,787","2,048,420","2,865,362","299,133","1,432,151","313,969","1,486,251","500,000","500,000","1,234,451","879,111","1,734,451","1,379,111","1,572,797","3,008,169","499,456","173,564","404,180","120,160"
49,1998,LAND TRANSPORT ,"4,300,002",GOOD,"451,360",36,"6,527,655","6,014,982","2,620,397","3,157,061","9,148,052","9,172,043","3,468,577","3,065,039","4,688,170","5,264,075","2,500,000","2,500,000","1,959,882","1,407,968","4,459,882","3,907,968","9,343,439","9,555,010","1,675,164","1,071,277","1,255,164","588,086"
50,1992,LAND TRANSPORT ,"250,002",GOOD,"882,400",48,"1,490,646","1,173,279","5,111,894","5,354,197","6,602,540","6,527,476","3,200,236","2,948,245","3,527,918","3,164,987","200,000","200,000","2,774,032","3,061,899","3,074,622","3,362,489","26,912,391","22,378,467","315,068","306,667","315,068","287,867"
51,2007,LAND TRANSPORT ,"300,000",GOOD,"320,000",60,"1,354,426","1,177,161","301,133","124,992","1,655,559","1,302,153","622,648","443,097","1,375,343","1,017,390","300,000","300,000","-19,784","-15,237","280,216","284,763","976,614","1,085,791","-8,537","21,576","-33,228","4,547"
52,1991,LAND TRANSPORT ,"1,000,001",GOOD,"448,000",36,"2,802,943","2,351,441","6,283,624","6,146,002","9,086,567","8,497,443","3,601,853","2,822,355","4,787,777","3,741,356","500,000","500,000","3,798,791","4,256,087","4,298,791","4,756,087","13,812,137","14,889,119","517,528","1,055,634","425,594","667,296"
53,1989,LAND TRANSPORT ,"495,001",GOOD,"360,000",60,"79,160","67,068","132,296","152,073","211,456","219,141","45,296","21,260","45,296","21,260","495,000","495,000","-328,840","-297,119","166,160","197,881","160,950","433,070","52,944","31,721","52,944","31,721"
54,2003,LAND TRANSPORT ,"500,001",GOOD,"160,000",48,"3,300","354,812","90,436","262,917","93,736","617,729","8,300","146,218","8,300","146,218","100,000","500,000","-14,564","-28,489","85,436","471,511","286,622","526,842","15,606","-13,924","15,606","-13,924"
55,1997,LAND TRANSPORT ,"900,001",GOOD,"235,200",36,"103,414","109,950","96,359","218,372","199,773","328,322","226,638","369,205","281,556","440,025",4,4,"-81,787","-111,707","-81,783","-111,703","630,680","551,986","-110,529","-29,920","-104,168","-29,920"
56,1997,TRADING & WHOLESALE,"250,001",GOOD,"250,000",27,"295,308","207,485","497,360","454,602","792,668","662,087","820,574","521,949","935,362","603,929","60,002","250,000","-202,696","-191,842","-142,694","58,158","2,409,331","2,094,664","52,691","27,810","46,823","10,854"
57,1994,TRADING & WHOLESALE,"1,000,001",GOOD,"49,895",59,"784,000","862,000","17,018,000","23,694,000","17,802,000","24,556,000","4,627,000","7,259,000","4,627,000","7,259,000","700,000","700,000","12,475,000","16,597,000","13,175,000","17,297,000","10,084,000","20,823,000","949,000","5,758,000","722,000","4,122,000"
58,2004,TRADING & WHOLESALE,"500,001",GOOD,"9,293",59,"33,599","21,612","1,428,241","1,641,065","1,461,840","1,662,677","1,392,890","1,579,147","1,395,095","1,582,532",200,200,"66,545","79,945","66,745","80,145","10,710,663","13,486,505","39,112","24,472","26,880","13,400"
59,2006,TRADING & WHOLESALE,"500,001",GOOD,"1,080,800",36,n.a.,"1,658,089",n.a.,"2,821,228",n.a.,"4,479,318",n.a.,"3,725,583",n.a.,"3,951,681",n.a.,"500,000",n.a.,n.a.,n.a.,"527,637",n.a.,"23,306,244",n.a.,"59,151",n.a.,"27,637"
60,1962,TRADING & WHOLESALE,"1,200,001",GOOD,"50,001",24,"4,882,963","6,950,041","10,002,842","12,216,157","14,885,805","19,166,198","6,713,665","8,241,557","6,813,722","8,329,145","1,200,000","1,200,000",n.a.,n.a.,"8,072,083","10,837,053","55,823,736","57,752,971","4,332,792","873,460","4,058,655","664,970"
61,1987,TRADING & WHOLESALE,"4,683,851",GOOD,"26,370",60,"2,524,963","3,045,068","7,476,344","8,827,727","10,001,307","11,872,795","3,461,737","3,520,944","3,461,737","3,689,602","4,683,850","4,683,850","1,855,720","3,499,343","6,539,570","8,183,193","21,876,224","24,730,424","3,261,799","4,839,727","2,282,731","3,498,623"
62,2008,TRADING & WHOLESALE,"500,002",GOOD,"73,500",36,n.a.,"284,555",n.a.,"178,488",n.a.,"463,043",n.a.,"270,842",n.a.,"426,829",n.a.,"50,000",n.a.,"-13,786",n.a.,"36,214",n.a.,"335,009",n.a.,"-13,786",n.a.,"-13,786"
63,2006,TRADING & WHOLESALE,"15,000,002",GOOD,"35,554",56,"22,072,880","36,644,237","2,776,996","6,135,551","24,849,876","42,779,788","174,547","3,917,858","16,643,253","33,688,050","10,000,000","15,000,000","-1,793,377","-5,908,262","8,206,623","9,091,738",n.a.,"9,059,456","-1,463,633","-4,123,285","-1,476,280","-4,114,885"
64,2006,TRADING & WHOLESALE,"400,002",GOOD,"24,000",24,"44,605","130,163","1,494,209","1,625,923","1,538,814","1,756,086","784,821","1,017,920","1,186,995","1,368,382","400,000","400,000","-48,181","-12,296","351,819","387,704","3,398,738","4,415,323","-46,175","46,035","-46,175","35,885"
65,2003,TRADING & WHOLESALE,"1,200,002",GOOD,"18,673",59,"974,618","915,629","6,065,614","6,211,889","7,040,232","7,127,518","5,521,552","5,477,088","5,521,552","5,631,226","1,000,000","1,000,000","518,680","496,292","1,518,680","1,496,292","30,452,549","24,278,720","289,236","110,312","139,136","-22,388"
66,2002,TRADING & WHOLESALE,"2,000,002",GOOD,"100,000",36,"2,086,096","1,786,816","16,026,664","18,657,452","18,112,761","20,444,268","15,238,660","16,619,353","15,337,379","16,832,908","2,000,000","2,000,000","775,382","1,611,360","2,775,382","3,611,360","36,680,518","36,763,986","-625,400","1,048,527","-606,570","835,978"
67,1988,TRADING & WHOLESALE,"700,002",GOOD,"5,215",59,"5,523,898","5,697,600","3,568,759","3,840,158","9,092,657","9,537,758","5,895,494","6,182,634","7,685,196","8,109,103","700,000","700,000","707,461","728,655","1,407,461","1,428,655","8,071,646","8,415,473","297,701","246,491","171,447","121,994"
68,1993,TRADING & WHOLESALE,"500,000",GOOD,"1,935,238",35,"6,308,523","6,141,025","6,841,813","7,073,540","13,150,336","13,214,565","9,254,258","7,965,378","10,395,873","9,057,256","200,000","250,000","2,554,463","3,907,309","2,754,463","4,157,309","25,845,656","23,060,477","1,261,870","1,998,705","922,970","1,352,846"
69,2007,TRADING & WHOLESALE,"300,000",GOOD,"41,291",60,"10,322","409,598","4,224,806","17,784,071","4,235,128","18,193,669","3,294,521","17,540,876","3,294,521","17,650,084","300,000","300,000","640,607","398,175","940,607","543,585","13,007,078","42,409,529","722,478","1,334,873","529,456","957,568"
70,1991,BUSINESS SERVICES ,"10,500,001",BAD,"21,315",59,"7,554,212","7,019,388","1,591,463","1,563,603","9,145,675","8,582,991","1,927,718","1,720,245","4,397,727","3,837,791","10,500,000","10,500,000","-5,752,052","-5,754,800","4,747,948","4,745,200","5,102,415","5,269,473","226,011","35,823","148,744","-2,748"
71,2010,CONSTRUCTION ,"250,001",BAD,"47,200",36,n.a.,n.a.,"31,265","39,985","31,265","39,985","36,614","52,305","36,614","52,305",100,100,"-5,449","-12,420","-5,349","-12,320",n.a.,"42,160","-3,217","-6,971","-3,217","-6,971"
72,2002,LAND TRANSPORT ,"250,001",BAD,"301,750",36,"16,493","15,338","437,434","650,682","453,927","666,020","219,765","239,920","221,072","241,115","100,000","250,000","132,855","174,905","232,855","424,905","2,154,818","2,237,787","39,924","52,971","31,635","42,050"
73,1996,CONSTRUCTION ,"2,000,001",BAD,"8,505,442",60,"17,966,120","20,742,513","73,018,265","78,152,888","90,984,385","98,895,401","37,406,543","40,572,812","41,059,970","46,194,504","2,000,000","2,000,000","47,924,415","50,601,171","49,924,415","52,601,171","87,884,309","81,027,572","4,409,477","4,252,941","2,977,651","2,766,509"
74,2006,BUSINESS SERVICES ,"250,002",BAD,"19,106",59,"172,188","166,055","1,063,754","1,137,094","1,235,942","1,303,149","290,679","544,714","622,545","958,522","100,000","250,000","513,397","94,627","613,397","344,627","1,370,000","2,321,674","-35,848","112,591","-50,286","81,230"
75,2008,CONSTRUCTION ,"3,000,002",BAD,"210,000",36,"2,773,018","4,242,512","18,688,263","35,177,783","21,461,281","39,420,295","13,815,190","29,745,816","16,427,699","32,656,469","3,000,000","3,000,000","2,033,582",n.a.,"5,033,582","3,000,000","47,121,077","90,199,375","1,015,886","2,373,244","715,886","1,730,244"
76,2004,BUSINESS SERVICES ,"62,002",BAD,"12,878",60,"29,120","15,745","373,657","510,065","402,777","525,810",n.a.,"386,683","316,694","386,683","62,000","62,000","24,083","77,127","86,083","139,127","808,047","1,044,333","88,657","36,038","68,973","53,044"
77,2011,TRADING & WHOLESALE,"245,002",BAD,"53,921",60,"6,974,875",n.a.,"10,105,710",n.a.,"17,080,585",n.a.,"16,727,593",n.a.,"17,152,732",n.a.,"150,000",n.a.,"-222,147",n.a.,"-72,147",n.a.,"40,450,552",n.a.,"62,175",n.a.,"-225,156",n.a.
78,1989,BUSINESS SERVICES ,"5,000,002",BAD,"94,584",59,"13,915,431","13,520,970","26,493,167","31,219,901","40,408,598","44,740,871","23,736,460","28,004,781","28,031,953","32,036,879","5,000,000","5,000,000","7,376,645","7,703,992","12,376,645","12,703,992","43,357,317","51,326,036","530,425","850,524","245,716","327,347"
79,2010,CONSTRUCTION ,"100,002",BAD,"161,000",24,"298,460","1,467,051","1,261,246","588,845","1,559,706","2,055,896","224,512","237,512","259,957","1,293,003","1,000","100,000","1,298,749","662,893","1,299,749","762,893","1,365,043","577,153","944,776","-649,413","902,898","-635,856"
80,2010,BUSINESS SERVICES ,"2,500,002",BAD,"14,948",60,"23,213,745",n.a.,"9,098,151",n.a.,"32,311,896",n.a.,"22,706,762",n.a.,"35,100,123",n.a.,"2,500,000",n.a.,"-5,288,227",n.a.,"-2,788,227",n.a.,"7,693,796",n.a.,"-2,390,597",n.a.,"-2,214,711",n.a.
81,2003,BUSINESS SERVICES ,"4,000,002",BAD,"98,037",59,"1,518,110","2,878,197","9,799,245","14,757,885","11,317,355","17,636,082","5,264,154","6,869,606","7,026,478","8,973,122","4,000,000","4,000,000","290,877",n.a.,"4,290,877","4,000,000","32,423,536","38,035,893","2,521,432","6,018,361","1,822,223","4,372,083"
82,2011,TRADING & WHOLESALE,"3,000,000",BAD,"154,400",36,"7,738,663",n.a.,"17,443,197",n.a.,"25,181,860",n.a.,"17,328,464",n.a.,"21,307,070",n.a.,"2,000,000",n.a.,"1,874,790",n.a.,"3,874,790",n.a.,"38,624,067",n.a.,"482,892",n.a.,"274,600",n.a.
83,1975,BUSINESS SERVICES ,"5,000,000",BAD,"12,556",60,"3,057,565","1,464,011","172,560,943","163,886,255","175,618,508","165,350,266","133,870,718","122,131,030","161,005,367","125,499,645","5,000,000","5,000,000",n.a.,"34,850,621","5,000,000","39,850,621","4,381,928","129,213,416","15,351,551","32,082,014","11,797,264","25,237,480"
84,1987,TRADING & WHOLESALE,"4,000,000",BAD,"1,030,000",48,"2,083,756","1,817,704","3,812,396","1,067,776","5,896,152","2,885,480","2,759,673","2,915,845","6,596,749","6,411,477","4,000,000","4,000,000","-4,700,597","-7,525,997","-700,597","-3,525,997","3,338,786","1,403,987","-4,438,428","-2,825,400","-4,381,807","-2,825,400"
85,2011,BUSINESS SERVICES ,"1,000,000",BAD,"33,913",60,"1,093,393",n.a.,"2,147,190",n.a.,"3,240,583",n.a.,"1,365,971",n.a.,"1,926,969",n.a.,"1,000,000",n.a.,"313,614",n.a.,"1,313,614",n.a.,"3,293,671",n.a.,"419,147",n.a.,"260,976",n.a.
86,2003,LAND TRANSPORT ,"1,200,000",BAD,"100,000",60,"1,517,392","1,274,897","996,590","1,134,741","2,513,982","2,409,638","1,333,512","1,139,575","2,399,213","1,771,005","700,000","1,200,000","-585,231","-561,367","114,769","638,633","5,462,230","5,046,125","-272,890","23,864","-36,445","23,864"
87,2014,BUSINESS SERVICES ,"150,000",BAD,"164,800",36,"13,700","222,786","1,193,758","1,961,644","1,207,458","2,184,430","1,127,362","2,005,012","1,128,730","2,083,769","1,000","1,000","77,728","99,661","78,728","100,661","2,794,523","4,409,137","46,260","37,705","31,386","21,933"
88,1994,CONSTRUCTION ,"3,000,001",BAD,"7,802,590",48,"30,970,717","31,178,564","110,687,557","111,106,586","141,658,274","142,285,150","84,822,254","81,166,152","94,346,086","88,028,998","3,000,000","3,000,000","44,312,188","51,256,152","47,312,188","54,256,152","201,023,720","173,863,488","19,128,488","13,535,470","13,675,687","9,943,964"
89,1983,BUSINESS SERVICES ,"300,001",BAD,"304,800",36,"120,707","1,039,585","1,148,948","796,873","1,269,655","1,836,458","949,829","944,504","960,675","1,137,237","200,000","200,000","108,980","499,221","308,980","699,221","2,472,553","4,026,634","100,825","544,152","68,164","390,241"
