No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
242,2006,TRADING & WHOLESALE,"250,001",GOOD,"110,000",36,"439,081","389,527","886,808","1,110,472","1,325,889","1,499,999","1,081,811","1,180,623","1,113,811","1,217,323","200,000","250,000","12,078","32,676","212,078","282,676","2,660,777","3,181,982","7,798","31,200","-25,313","20,598"
243,1993,TRADING & WHOLESALE,"1,600,001",GOOD,"178,470",36,"1,460,954","2,932,368","2,878,224","3,470,295","4,339,178","6,402,663","2,927,807","3,451,916","3,767,664","5,447,686","800,000","1,100,000","-228,486","-145,023","571,514","954,977","16,032,791","15,348,702","29,187","101,356","-53,132","83,463"
244,1996,TRADING & WHOLESALE,"100,001",GOOD,"23,543",60,"177,825","54,374","9,436,826","9,567,627","9,614,651","9,622,001","7,188,972","7,168,145","7,198,628","7,174,062","100,000","100,000","2,316,023","2,347,939","2,416,023","2,447,939","27,861,734","23,415,493","538,172","105,399","381,169","31,916"
245,2014,TRADING & WHOLESALE,"400,002",GOOD,"76,000",36,"8,375","215,795","60,493","743,662","68,868","959,457","112,532","586,276","112,532","665,583",2,"200,000","-43,666","93,874","-43,664","293,874","847,219","5,511,904","-43,666","158,580","-43,666","137,540"
246,1998,TRADING & WHOLESALE,"900,004",GOOD,"462,599",36,"245,617","159,879","5,370,716","5,015,045","5,616,333","5,174,924","3,096,766","3,015,014","4,401,698","3,627,872","800,002","800,002","414,633","747,050","1,214,635","1,547,052","14,223,824","15,436,238","258,649","463,097","191,468","332,417"
247,1983,TRADING & WHOLESALE,"8,904,239",GOOD,"182,051",36,n.a.,"11,722,736",n.a.,"31,343,454",n.a.,"43,066,190",n.a.,"22,954,834",n.a.,"29,659,259",n.a.,"2,457,456",n.a.,"6,649,475",n.a.,"13,406,931",n.a.,"58,654,615",n.a.,"243,235",n.a.,"56,673"
248,2009,TRADING & WHOLESALE,"6,352,454",GOOD,"926,943",46,"10,382,005","11,704,218","16,846,362","26,458,461","27,228,367","38,162,679","19,811,314","28,848,158","22,384,525","32,484,140","4,852,452","5,352,452","-8,610","326,087","4,843,842","5,678,539","69,423,944","98,220,526","650,226","635,353","395,447","334,697"
249,2008,TRADING & WHOLESALE,"600,002",GOOD,"120,000",24,"835,934","924,009","618,457","617,142","1,454,391","1,541,151","1,004,347","986,401","1,312,961","1,315,663","50,000","50,000","91,430","175,488","141,430","225,488","3,630,019","4,207,050","57,600","112,171","38,937","84,058"
250,2009,TRADING & WHOLESALE,"2,500,002",GOOD,"770,000",60,"302,201","1,292,722","8,182,951","11,358,143","8,485,152","12,650,865","6,307,791","8,360,832","6,657,174","10,528,989","1,000,000","1,000,000","827,978","1,121,876","1,827,978","2,121,876","7,064,737","10,960,778","353,799","393,124","273,697","293,898"
251,2009,TRADING & WHOLESALE,"50,002",GOOD,"13,457",60,"446,013","457,285","2,691,078","2,191,168","3,137,091","2,648,453","2,052,617","1,614,817","2,462,356","1,998,507","50,000","50,000","624,735","599,946","674,735","649,946","7,362,002","7,496,769","151,332","22,265","129,692","-24,789"
252,2011,TRADING & WHOLESALE,"100,002",GOOD,"292,000",36,"276,295","475,130","597,039","847,208","873,334","1,322,338","702,350","1,451,313","792,640","1,556,894","20,000","20,000","60,694","-254,556","80,694","-234,556","4,256,242","7,727,593","23,334","-323,279","14,142","-315,250"
253,2011,TRADING & WHOLESALE,"500,002",GOOD,"123,000",36,"410,786","2,722,986","1,643,072","1,710,523","2,053,858","4,433,509","1,264,439","3,528,741","1,536,175","3,728,021","300,000","300,000","217,683","405,488","517,683","705,488","5,728,661","6,528,508","341,033","283,353","262,704","187,805"
254,2011,TRADING & WHOLESALE,"500,002",GOOD,"188,357",48,"458,443","284,693","2,868,580","2,900,895","3,327,023","3,185,588","2,848,386","2,680,600","3,010,644","2,786,512","250,000","250,000","66,379","149,076","316,379","399,076","6,322,908","5,482,372","58,554","102,813","37,861","82,697"
